Occupation,Detailed Work Activity,Code,Group
"Orthopedic Surgeons, Except Pediatric",Manage healthcare operations.,29-1242.00,Medical and Surgical Specialists
"Orthopedic Surgeons, Except Pediatric",Order medical diagnostic or clinical tests.,29-1242.00,Medical and Surgical Specialists
"Orthopedic Surgeons, Except Pediatric",Order medical supplies or equipment.,29-1242.00,Medical and Surgical Specialists
"Orthopedic Surgeons, Except Pediatric",Prescribe treatments or therapies.,29-1242.00,Medical and Surgical Specialists
"Orthopedic Surgeons, Except Pediatric",Record patient medical histories.,29-1242.00,Medical and Surgical Specialists
"Orthopedic Surgeons, Except Pediatric",Refer patients to other healthcare practitioners or health resources.,29-1242.00,Medical and Surgical Specialists
"Orthopedic Surgeons, Except Pediatric",Schedule patient procedures or appointments.,29-1242.00,Medical and Surgical Specialists
"Orthopedic Surgeons, Except Pediatric",Sterilize medical equipment or instruments.,29-1242.00,Medical and Surgical Specialists
"Orthopedic Surgeons, Except Pediatric",Supervise patient care personnel.,29-1242.00,Medical and Surgical Specialists
"Orthopedic Surgeons, Except Pediatric",Treat chronic diseases or disorders.,29-1242.00,Medical and Surgical Specialists
Pediatric Surgeons,Examine patients to assess general physical condition.,29-1243.00,Medical and Surgical Specialists
Pediatric Surgeons,Operate on patients to treat conditions.,29-1243.00,Medical and Surgical Specialists
Pediatric Surgeons,Advise medical personnel regarding healthcare issues.,29-1243.00,Medical and Surgical Specialists
Pediatric Surgeons,Analyze patient data to determine patient needs or treatment goals.,29-1243.00,Medical and Surgical Specialists
Pediatric Surgeons,Analyze test data or images to inform diagnosis or treatment.,29-1243.00,Medical and Surgical Specialists
Pediatric Surgeons,Assist healthcare practitioners during surgery.,29-1243.00,Medical and Surgical Specialists
Pediatric Surgeons,Conduct research to increase knowledge about medical issues.,29-1243.00,Medical and Surgical Specialists
Pediatric Surgeons,Confer with family members to discuss client treatment plans or progress.,29-1243.00,Medical and Surgical Specialists
Pediatric Surgeons,Confer with other professionals to plan patient care.,29-1243.00,Medical and Surgical Specialists
Pediatric Surgeons,Diagnose medical conditions.,29-1243.00,Medical and Surgical Specialists
Pediatric Surgeons,Explain medical procedures or test results to patients or family members.,29-1243.00,Medical and Surgical Specialists
Pediatric Surgeons,Follow protocols or regulations for healthcare activities.,29-1243.00,Medical and Surgical Specialists
Pediatric Surgeons,Manage healthcare operations.,29-1243.00,Medical and Surgical Specialists
Pediatric Surgeons,Monitor patient progress or responses to treatments.,29-1243.00,Medical and Surgical Specialists
Pediatric Surgeons,Order medical supplies or equipment.,29-1243.00,Medical and Surgical Specialists
Pediatric Surgeons,Prescribe medications.,29-1243.00,Medical and Surgical Specialists
Pediatric Surgeons,Prescribe treatments or therapies.,29-1243.00,Medical and Surgical Specialists
Pediatric Surgeons,Record patient medical histories.,29-1243.00,Medical and Surgical Specialists
Pediatric Surgeons,Refer patients to other healthcare practitioners or health resources.,29-1243.00,Medical and Surgical Specialists
Pediatric Surgeons,Schedule patient procedures or appointments.,29-1243.00,Medical and Surgical Specialists
Pediatric Surgeons,Sterilize medical equipment or instruments.,29-1243.00,Medical and Surgical Specialists
Pediatric Surgeons,Supervise patient care personnel.,29-1243.00,Medical and Surgical Specialists
Acupuncturists,Follow protocols or regulations for healthcare activities.,29-1291.00,Allied Health Professionals
Acupuncturists,Develop treatment plans that use non-medical therapies.,29-1291.00,Allied Health Professionals
Acupuncturists,Treat patients using alternative medical procedures.,29-1291.00,Allied Health Professionals
Acupuncturists,"Collect medical information from patients, family members, or other medical professionals.",29-1291.00,Allied Health Professionals
Acupuncturists,Analyze test data or images to inform diagnosis or treatment.,29-1291.00,Allied Health Professionals
Acupuncturists,Advise patients on effects of health conditions or treatments.,29-1291.00,Allied Health Professionals
Acupuncturists,Examine patients to assess general physical condition.,29-1291.00,Allied Health Professionals
Acupuncturists,Record patient medical histories.,29-1291.00,Allied Health Professionals
Acupuncturists,"Train patients, family members, or caregivers in techniques for managing disabilities or illnesses.",29-1291.00,Allied Health Professionals
Acupuncturists,Prepare medications or medical solutions.,29-1291.00,Allied Health Professionals
Acupuncturists,Treat patients using physical therapy techniques.,29-1291.00,Allied Health Professionals
Acupuncturists,Evaluate patient outcomes to determine effectiveness of treatments.,29-1291.00,Allied Health Professionals
Acupuncturists,Evaluate treatment options to guide medical decisions.,29-1291.00,Allied Health Professionals
Acupuncturists,Prescribe treatments or therapies.,29-1291.00,Allied Health Professionals
Dental Hygienists,Record patient medical histories.,29-1292.00,Dental and Oral Health Professionals
Dental Hygienists,"Examine mouth, teeth, gums, or related facial structures.",29-1292.00,Dental and Oral Health Professionals
Dental Hygienists,Treat dental problems or diseases.,29-1292.00,Dental and Oral Health Professionals
Dental Hygienists,Operate diagnostic or therapeutic medical instruments or equipment.,29-1292.00,Dental and Oral Health Professionals
Dental Hygienists,"Provide health and wellness advice to patients, program participants, or caregivers.",29-1292.00,Dental and Oral Health Professionals
Dental Hygienists,Process x-rays or other medical images.,29-1292.00,Dental and Oral Health Professionals
Dental Hygienists,Attend training sessions or professional meetings to develop or maintain professional knowledge.,29-1292.00,Dental and Oral Health Professionals
Dental Hygienists,Maintain current knowledge related to work activities.,29-1292.00,Dental and Oral Health Professionals
Dental Hygienists,Maintain medical equipment or instruments.,29-1292.00,Dental and Oral Health Professionals
Dental Hygienists,Sterilize medical equipment or instruments.,29-1292.00,Dental and Oral Health Professionals
Dental Hygienists,Administer anesthetics or sedatives to control pain.,29-1292.00,Dental and Oral Health Professionals
Dental Hygienists,Direct healthcare delivery programs.,29-1292.00,Dental and Oral Health Professionals
Dental Hygienists,Adjust dental devices or appliances to ensure fit.,29-1292.00,Dental and Oral Health Professionals
Dental Hygienists,Fabricate medical devices.,29-1292.00,Dental and Oral Health Professionals
Dental Hygienists,"Treat acute illnesses, infections, or injuries.",29-1292.00,Dental and Oral Health Professionals
Naturopathic Physicians,Record patient medical histories.,29-1299.01,Allied Health Professionals
Naturopathic Physicians,Advise patients on healthcare system processes.,29-1299.01,Allied Health Professionals
Naturopathic Physicians,Examine patients to assess general physical condition.,29-1299.01,Allied Health Professionals
Naturopathic Physicians,"Provide health and wellness advice to patients, program participants, or caregivers.",29-1299.01,Allied Health Professionals
Naturopathic Physicians,Prescribe medications.,29-1299.01,Allied Health Professionals
Naturopathic Physicians,Administer non-intravenous medications.,29-1299.01,Allied Health Professionals
Naturopathic Physicians,"Collect medical information from patients, family members, or other medical professionals.",29-1299.01,Allied Health Professionals
Naturopathic Physicians,Analyze test data or images to inform diagnosis or treatment.,29-1299.01,Allied Health Professionals
Naturopathic Physicians,Diagnose medical conditions.,29-1299.01,Allied Health Professionals
Naturopathic Physicians,Treat patients using alternative medical procedures.,29-1299.01,Allied Health Professionals
Naturopathic Physicians,Refer patients to other healthcare practitioners or health resources.,29-1299.01,Allied Health Professionals
Naturopathic Physicians,Collaborate with healthcare professionals to plan or provide treatment.,29-1299.01,Allied Health Professionals
Naturopathic Physicians,Order medical diagnostic or clinical tests.,29-1299.01,Allied Health Professionals
Naturopathic Physicians,Maintain medical or professional knowledge.,29-1299.01,Allied Health Professionals
Naturopathic Physicians,Gather medical information from patient histories.,29-1299.01,Allied Health Professionals
Naturopathic Physicians,Immunize patients.,29-1299.01,Allied Health Professionals
Naturopathic Physicians,Collect biological specimens from patients.,29-1299.01,Allied Health Professionals
Naturopathic Physicians,Treat patients using physical therapy techniques.,29-1299.01,Allied Health Professionals
Naturopathic Physicians,Operate on patients to treat conditions.,29-1299.01,Allied Health Professionals
Naturopathic Physicians,Prepare official health documents or records.,29-1299.01,Allied Health Professionals
Naturopathic Physicians,"Treat acute illnesses, infections, or injuries.",29-1299.01,Allied Health Professionals
Orthoptists,Test patient vision.,29-1299.02,Allied Health Professionals
Orthoptists,Treat chronic diseases or disorders.,29-1299.02,Allied Health Professionals
Orthoptists,Diagnose medical conditions.,29-1299.02,Allied Health Professionals
Orthoptists,Examine patients to assess general physical condition.,29-1299.02,Allied Health Professionals
Orthoptists,Explain medical procedures or test results to patients or family members.,29-1299.02,Allied Health Professionals
Orthoptists,Develop medical treatment plans.,29-1299.02,Allied Health Professionals
Orthoptists,Analyze test data or images to inform diagnosis or treatment.,29-1299.02,Allied Health Professionals
Orthoptists,Develop health assessment methods or programs.,29-1299.02,Allied Health Professionals
Orthoptists,Train medical providers.,29-1299.02,Allied Health Professionals
Orthoptists,Prepare reports summarizing patient diagnostic or care activities.,29-1299.02,Allied Health Professionals
Orthoptists,Refer patients to other healthcare practitioners or health resources.,29-1299.02,Allied Health Professionals
Orthoptists,Collaborate with healthcare professionals to plan or provide treatment.,29-1299.02,Allied Health Professionals
Orthoptists,Present medical research reports.,29-1299.02,Allied Health Professionals
Orthoptists,Conduct research to increase knowledge about medical issues.,29-1299.02,Allied Health Professionals
Orthoptists,Assist healthcare practitioners during examinations or treatments.,29-1299.02,Allied Health Professionals
Medical and Clinical Laboratory Technologists,Analyze laboratory specimens to detect abnormalities or other problems.,29-2011.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technologists,Analyze laboratory findings.,29-2011.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technologists,Collect biological specimens from patients.,29-2011.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technologists,Maintain medical laboratory equipment.,29-2011.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technologists,Operate laboratory equipment to analyze medical samples.,29-2011.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technologists,Enter patient or treatment data into computers.,29-2011.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technologists,Develop healthcare quality and safety procedures.,29-2011.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technologists,Clean medical equipment or facilities.,29-2011.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technologists,Prepare medical supplies or equipment for use.,29-2011.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technologists,Prepare biological specimens for laboratory analysis.,29-2011.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technologists,Communicate detailed medical information to patients or family members.,29-2011.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technologists,Communicate test or assessment results to medical professionals.,29-2011.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technologists,"Cultivate micro-organisms for study, testing, or medical preparations.",29-2011.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technologists,Supervise technical medical personnel.,29-2011.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technologists,Train medical providers.,29-2011.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technologists,Determine protocols for medical procedures.,29-2011.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technologists,Conduct research to increase knowledge about medical issues.,29-2011.00,Laboratory and Diagnostic Technicians
Cytogenetic Technologists,Prepare biological specimens for laboratory analysis.,29-2011.01,Laboratory and Diagnostic Technicians
Cytogenetic Technologists,Analyze laboratory specimens to detect abnormalities or other problems.,29-2011.01,Laboratory and Diagnostic Technicians
Cytogenetic Technologists,Operate laboratory equipment to analyze medical samples.,29-2011.01,Laboratory and Diagnostic Technicians
Cytogenetic Technologists,Determine protocols for medical procedures.,29-2011.01,Laboratory and Diagnostic Technicians
Cytogenetic Technologists,Collect biological specimens from patients.,29-2011.01,Laboratory and Diagnostic Technicians
Cytogenetic Technologists,Prepare official health documents or records.,29-2011.01,Laboratory and Diagnostic Technicians
Cytogenetic Technologists,Prepare reports summarizing patient diagnostic or care activities.,29-2011.01,Laboratory and Diagnostic Technicians
Cytogenetic Technologists,Communicate test or assessment results to medical professionals.,29-2011.01,Laboratory and Diagnostic Technicians
Cytogenetic Technologists,Communicate detailed medical information to patients or family members.,29-2011.01,Laboratory and Diagnostic Technicians
Cytogenetic Technologists,Enter patient or treatment data into computers.,29-2011.01,Laboratory and Diagnostic Technicians
Cytogenetic Technologists,Develop healthcare quality and safety procedures.,29-2011.01,Laboratory and Diagnostic Technicians
Cytogenetic Technologists,Monitor medical facility activities to ensure adherence to standards or regulations.,29-2011.01,Laboratory and Diagnostic Technicians
Cytogenetic Technologists,Test biological specimens to gather information about patient conditions.,29-2011.01,Laboratory and Diagnostic Technicians
Cytogenetic Technologists,Create advanced digital images of patients using computer imaging systems.,29-2011.01,Laboratory and Diagnostic Technicians
Cytogenetic Technologists,Inform medical professionals regarding patient conditions and care.,29-2011.01,Laboratory and Diagnostic Technicians
Cytogenetic Technologists,Maintain medical laboratory equipment.,29-2011.01,Laboratory and Diagnostic Technicians
Cytogenetic Technologists,Maintain medical facility records.,29-2011.01,Laboratory and Diagnostic Technicians
Cytogenetic Technologists,Supervise technical medical personnel.,29-2011.01,Laboratory and Diagnostic Technicians
Cytogenetic Technologists,Prepare healthcare training materials.,29-2011.01,Laboratory and Diagnostic Technicians
Cytogenetic Technologists,Train medical providers.,29-2011.01,Laboratory and Diagnostic Technicians
Cytotechnologists,Analyze laboratory specimens to detect abnormalities or other problems.,29-2011.02,Laboratory and Diagnostic Technicians
Cytotechnologists,Verify accuracy of patient information.,29-2011.02,Laboratory and Diagnostic Technicians
Cytotechnologists,Communicate test or assessment results to medical professionals.,29-2011.02,Laboratory and Diagnostic Technicians
Cytotechnologists,Prepare biological specimens for laboratory analysis.,29-2011.02,Laboratory and Diagnostic Technicians
Cytotechnologists,Test biological specimens to gather information about patient conditions.,29-2011.02,Laboratory and Diagnostic Technicians
Cytotechnologists,Follow protocols or regulations for healthcare activities.,29-2011.02,Laboratory and Diagnostic Technicians
Cytotechnologists,Verify that medical activities or operations meet standards.,29-2011.02,Laboratory and Diagnostic Technicians
Cytotechnologists,Assist healthcare practitioners during examinations or treatments.,29-2011.02,Laboratory and Diagnostic Technicians
Cytotechnologists,Adjust settings or positions of medical equipment.,29-2011.02,Laboratory and Diagnostic Technicians
Cytotechnologists,Maintain medical laboratory equipment.,29-2011.02,Laboratory and Diagnostic Technicians
Cytotechnologists,Repair medical facility equipment.,29-2011.02,Laboratory and Diagnostic Technicians
Cytotechnologists,Supervise technical medical personnel.,29-2011.02,Laboratory and Diagnostic Technicians
Cytotechnologists,Maintain medical or professional knowledge.,29-2011.02,Laboratory and Diagnostic Technicians
Histotechnologists,Prepare biological specimens for laboratory analysis.,29-2011.04,Laboratory and Diagnostic Technicians
Histotechnologists,Operate laboratory equipment to analyze medical samples.,29-2011.04,Laboratory and Diagnostic Technicians
Histotechnologists,Analyze laboratory findings.,29-2011.04,Laboratory and Diagnostic Technicians
Histotechnologists,Analyze laboratory specimens to detect abnormalities or other problems.,29-2011.04,Laboratory and Diagnostic Technicians
Histotechnologists,Collect biological specimens from patients.,29-2011.04,Laboratory and Diagnostic Technicians
Histotechnologists,Distribute supplies to workers.,29-2011.04,Laboratory and Diagnostic Technicians
Histotechnologists,Maintain medical laboratory equipment.,29-2011.04,Laboratory and Diagnostic Technicians
Histotechnologists,Maintain repair or maintenance records.,29-2011.04,Laboratory and Diagnostic Technicians
Histotechnologists,Prepare medications or medical solutions.,29-2011.04,Laboratory and Diagnostic Technicians
Histotechnologists,Supervise technical medical personnel.,29-2011.04,Laboratory and Diagnostic Technicians
Histotechnologists,Test biological specimens to gather information about patient conditions.,29-2011.04,Laboratory and Diagnostic Technicians
Histotechnologists,Train medical providers.,29-2011.04,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technicians,Test biological specimens to gather information about patient conditions.,29-2012.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technicians,Analyze laboratory specimens to detect abnormalities or other problems.,29-2012.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technicians,Analyze laboratory findings.,29-2012.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technicians,Enter patient or treatment data into computers.,29-2012.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technicians,Operate laboratory equipment to analyze medical samples.,29-2012.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technicians,Prepare biological specimens for laboratory analysis.,29-2012.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technicians,Collect biological specimens from patients.,29-2012.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technicians,Clean medical equipment or facilities.,29-2012.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technicians,Maintain medical laboratory equipment.,29-2012.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technicians,Prepare medical supplies or equipment for use.,29-2012.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technicians,"Cultivate micro-organisms for study, testing, or medical preparations.",29-2012.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technicians,Inform medical professionals regarding patient conditions and care.,29-2012.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technicians,Conduct research to increase knowledge about medical issues.,29-2012.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technicians,Analyze test data or images to inform diagnosis or treatment.,29-2012.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technicians,Supervise technical medical personnel.,29-2012.00,Laboratory and Diagnostic Technicians
Medical and Clinical Laboratory Technicians,Train medical providers.,29-2012.00,Laboratory and Diagnostic Technicians
Histology Technicians,Prepare biological specimens for laboratory analysis.,29-2012.01,Laboratory and Diagnostic Technicians
Histology Technicians,Collect biological specimens from patients.,29-2012.01,Laboratory and Diagnostic Technicians
Histology Technicians,Maintain medical laboratory equipment.,29-2012.01,Laboratory and Diagnostic Technicians
Histology Technicians,Operate laboratory equipment to analyze medical samples.,29-2012.01,Laboratory and Diagnostic Technicians
Histology Technicians,"Prepare materials for preservation, storage, or display.",29-2012.01,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Operate diagnostic or therapeutic medical instruments or equipment.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Test patient heart or lung functioning.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Explain medical procedures or test results to patients or family members.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Analyze test data or images to inform diagnosis or treatment.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Maintain sterile operative fields.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,"Monitor patient conditions during treatments, procedures, or activities.",29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Assist healthcare practitioners during surgery.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Monitor video displays of medical equipment to ensure proper functioning.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Operate diagnostic imaging equipment.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,"Collect medical information from patients, family members, or other medical professionals.",29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Record patient medical histories.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Calculate numerical data for medical activities.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Inform medical professionals regarding patient conditions and care.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Position patients for treatment or examination.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Prepare patients physically for medical procedures.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Perform clerical work in medical settings.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Administer medical substances for imaging or other procedures.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Prepare reports summarizing patient diagnostic or care activities.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Adjust settings or positions of medical equipment.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Enter patient or treatment data into computers.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Prepare medical supplies or equipment for use.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Examine medical instruments or equipment to ensure proper operation.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Maintain medical equipment or instruments.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Repair medical facility equipment.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Supervise patient care personnel.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Train medical providers.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Order medical supplies or equipment.,29-2031.00,Laboratory and Diagnostic Technicians
Cardiovascular Technologists and Technicians,Schedule patient procedures or appointments.,29-2031.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Adjust settings or positions of medical equipment.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Monitor video displays of medical equipment to ensure proper functioning.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Operate diagnostic imaging equipment.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Create advanced digital images of patients using computer imaging systems.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Position patients for treatment or examination.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Communicate test or assessment results to medical professionals.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,"Monitor patient conditions during treatments, procedures, or activities.",29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Explain medical procedures or test results to patients or family members.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Prepare patients physically for medical procedures.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Record patient medical histories.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Analyze test data or images to inform diagnosis or treatment.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Gather medical information from patient histories.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Prepare official health documents or records.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Process x-rays or other medical images.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Assist healthcare practitioners during surgery.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Collaborate with healthcare professionals to plan or provide treatment.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Clean medical equipment or facilities.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Examine medical instruments or equipment to ensure proper operation.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Repair medical facility equipment.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Maintain medical facility records.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Perform clerical work in medical settings.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Schedule patient procedures or appointments.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Supervise patient care personnel.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Train medical providers.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Implement advanced life support techniques.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Maintain inventory of medical supplies or equipment.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Order medical supplies or equipment.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Prepare medical supplies or equipment for use.,29-2032.00,Laboratory and Diagnostic Technicians
Diagnostic Medical Sonographers,Treat medical emergencies.,29-2032.00,Laboratory and Diagnostic Technicians
Nuclear Medicine Technologists,Administer medical substances for imaging or other procedures.,29-2033.00,Laboratory and Diagnostic Technicians
Nuclear Medicine Technologists,Create advanced digital images of patients using computer imaging systems.,29-2033.00,Laboratory and Diagnostic Technicians
Nuclear Medicine Technologists,Operate diagnostic imaging equipment.,29-2033.00,Laboratory and Diagnostic Technicians
Nuclear Medicine Technologists,Process x-rays or other medical images.,29-2033.00,Laboratory and Diagnostic Technicians
Nuclear Medicine Technologists,Follow protocols or regulations for healthcare activities.,29-2033.00,Laboratory and Diagnostic Technicians
Nuclear Medicine Technologists,Record patient medical histories.,29-2033.00,Laboratory and Diagnostic Technicians
Nuclear Medicine Technologists,Calculate numerical data for medical activities.,29-2033.00,Laboratory and Diagnostic Technicians
Nuclear Medicine Technologists,Explain medical procedures or test results to patients or family members.,29-2033.00,Laboratory and Diagnostic Technicians
Nuclear Medicine Technologists,Prepare medications or medical solutions.,29-2033.00,Laboratory and Diagnostic Technicians
Nuclear Medicine Technologists,Process healthcare paperwork.,29-2033.00,Laboratory and Diagnostic Technicians
Nuclear Medicine Technologists,Examine medical instruments or equipment to ensure proper operation.,29-2033.00,Laboratory and Diagnostic Technicians
Nuclear Medicine Technologists,Monitor the handling of hazardous materials or medical wastes.,29-2033.00,Laboratory and Diagnostic Technicians
Nuclear Medicine Technologists,Gather medical information from patient histories.,29-2033.00,Laboratory and Diagnostic Technicians
Nuclear Medicine Technologists,Maintain medical laboratory equipment.,29-2033.00,Laboratory and Diagnostic Technicians
Nuclear Medicine Technologists,Adjust settings or positions of medical equipment.,29-2033.00,Laboratory and Diagnostic Technicians
Nuclear Medicine Technologists,Position patients for treatment or examination.,29-2033.00,Laboratory and Diagnostic Technicians
Nuclear Medicine Technologists,Operate laboratory equipment to analyze medical samples.,29-2033.00,Laboratory and Diagnostic Technicians
Nuclear Medicine Technologists,Prepare biological specimens for laboratory analysis.,29-2033.00,Laboratory and Diagnostic Technicians
Nuclear Medicine Technologists,Supervise patient care personnel.,29-2033.00,Laboratory and Diagnostic Technicians
Nuclear Medicine Technologists,Train medical providers.,29-2033.00,Laboratory and Diagnostic Technicians
Nuclear Medicine Technologists,Determine protocols for medical procedures.,29-2033.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Operate diagnostic imaging equipment.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Adjust settings or positions of medical equipment.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Prepare medical supplies or equipment for use.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Position patients for treatment or examination.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,"Monitor patient conditions during treatments, procedures, or activities.",29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Explain medical procedures or test results to patients or family members.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Inform medical professionals regarding patient conditions and care.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Check quality of diagnostic images.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Analyze patient data to determine patient needs or treatment goals.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Verify that medical activities or operations meet standards.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Prepare medications or medical solutions.,29-2034.00,Laboratory and Diagnostic Technicians
Radiologic Technologists and Technicians,Process x-rays or other medical images.,29-2034.00,Laboratory and Diagnostic Technicians
